"order_channel","order_number","order_date","order_time_local","day_of_week","hour_of_day","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","store_type","order_type","scheduled_or_asap_order","fulfillment_type","cash_order","customer_type","gh_plus_customer","order_subtotal_before_adjustments","order_subtotal_adjustments","order_subtotal","order_self_delivery_charge","order_merchant_fees","order_sales_tax","order_tip","order_total","order_commission","order_delivery_commission","order_gh_plus_commission","order_processing_fee","order_withheld_sales_tax","order_merchant_funded_promotion_and_loyalty","order_merchant_total","order_time_to_expected_ready_time_minutes","order_time_to_actually_ready_time_minutes","order_time_to_driver_arrived_time_minutes","order_time_to_driver_departed_time_minutes","order_time_to_dropoff_start_time_minutes","ghd_driver_wait_time","order_on_time","overall_rating_value","review_text"
"Marketplace","353121779490560","2023-02-28","06:24:19 PM","Tuesday","6 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Loyal","non GH+","12.73","0.00","12.73","0.00","0.00","1.27","0.00","14.00","-1.59","-1.27","0.00","-0.73","-1.27","0.00","9.14","15",,"18","20","55","2","On-time",,
"Marketplace","620723480587091","2023-08-19","11:13:13 AM","Saturday","11 AM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","24.72","0.00","24.72","0.00","0.00","2.47","0.00","27.19","-3.09","-2.47","0.00","-1.13","-2.47","0.00","18.03","15","5","8","9","15","0","Early","5",
"Marketplace","761623322730956","2023-08-03","05:25:14 PM","Thursday","5 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","33.47","0.00","33.47","0.00","0.00","3.35","0.00","36.82","-4.18","-3.35","0.00","-1.42","-3.35","0.00","24.52","15","7","27","28","45","1","Early",,
"Marketplace","968823584712602","2023-08-29","05:15:00 PM","Tuesday","5 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","Scheduled","Grubhub Delivery","No","Returning","GH+","16.73","0.00","16.73","0.00","0.00","1.67","0.00","18.40","-2.09","-1.67","0.00","-0.86","-1.67","0.00","12.11",,,,,,"2","On-time",,
"Marketplace","077623590086792","2023-08-30","05:36:07 PM","Wednesday","5 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","26.99","0.00","26.99","0.00","0.00","2.70","0.00","29.69","-3.37","-2.70","0.00","-1.21","-2.70","0.00","19.71","15",,"16","18","23","1","On-time",,
"Marketplace","694423428907855","2023-08-13","12:49:26 PM","Sunday","12 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","7.99","0.00","7.99","0.00","0.00","0.80","0.00","8.79","-1.00","-0.80","0.00","-0.57","-0.80","0.00","5.62","15","4","8","14","21","0","Early",,
"Marketplace","476024585190434","2023-12-07","10:44:11 AM","Thursday","10 AM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Pick-Up","No","Returning","non GH+","24.72","0.00","24.72","0.00","0.00","2.47","0.00","27.19","-3.09","0.00","0.00","-1.13","-2.47","0.00","20.50","15","6",,,,,"Early","5",
"Marketplace","840321515007248","2023-02-03","01:37:41 PM","Friday","1 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","32.97","0.00","32.97","0.00","0.00","3.30","0.00","36.27","-4.12","-3.30","0.00","-1.41","-3.30","0.00","24.14","15","6","9","12","46","0","Early",,
"Marketplace","667421652762272","2023-02-17","03:20:31 PM","Friday","3 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","New","non GH+","22.71","0.00","22.71","0.00","0.00","2.27","0.00","24.98","-2.84","-2.27","0.00","-1.06","-2.27","0.00","16.54","15","10","14","16","24","1","On-time","5",
"Marketplace","500621748466742","2023-02-26","05:12:02 PM","Sunday","5 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","23.71","0.00","23.71","0.00","0.00","2.37","0.00","26.08","-2.96","-2.37","0.00","-1.10","-2.37","0.00","17.28","16","9","12","13","27","0","Early",,
"Marketplace","913824627377021","2023-12-10","08:09:24 PM","Sunday","8 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","30.17","0.00","30.17","0.00","0.00","3.02","0.00","33.19","-3.77","-3.02","0.00","-1.31","-3.02","0.00","22.07","15","8","25","26","40","1","Early",,
"Marketplace","261124711176921","2023-12-20","02:12:57 PM","Wednesday","2 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","21.98","0.00","21.98","0.00","0.00","2.20","0.00","24.18","-2.75","-2.20","0.00","-1.04","-2.20","0.00","15.99","11","8","9","11","20","0","On-time",,
"Marketplace","677722252993596","2023-04-18","06:27:38 PM","Tuesday","6 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Pick-Up","No","Returning","non GH+","22.18","0.00","22.18","0.00","0.00","2.22","0.00","24.40","-2.77","0.00","0.00","-1.04","-2.22","0.00","18.37","15","11",,,,,"On-time",,
"Marketplace","849822340685715","2023-04-27","05:30:07 PM","Thursday","5 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","15.72","0.00","15.72","0.00","0.00","1.57","0.00","17.29","-1.97","-1.57","0.00","-0.83","-1.57","0.00","11.35","15",,"12","12","50","0","On-time",,
"Marketplace","355222159920438","2023-04-08","05:50:34 PM","Saturday","5 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Pick-Up","No","Returning","non GH+","11.19","0.00","11.19","0.00","0.00","1.12","0.00","12.31","-1.40","0.00","0.00","-0.68","-1.12","0.00","9.11","15","6",,,,,"Early",,
"Marketplace","750122229516028","2023-04-14","09:02:35 PM","Friday","9 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","24.73","0.00","24.73","0.00","0.00","2.47","0.00","27.20","-3.09","-2.47","0.00","-1.13","-2.47","0.00","18.04","15",,"18","18","29","0","On-time",,
"Marketplace","913922161886292","2023-04-08","07:32:59 PM","Saturday","7 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","19.98","0.00","19.98","0.00","0.00","2.00","0.00","21.98","-2.50","-2.00","0.00","-0.97","-2.00","0.00","14.51","15","0","13","17","26","2","Early",,
